data_num,epoch,train_acc,val_acc,loss
30,1,0.3750,0.2500,1.0739
30,2,0.8750,0.2500,0.7246
30,3,1.0000,0.5000,0.4492
30,4,0.8750,0.5833,0.4504
30,5,1.0000,0.4167,0.1807
30,6,1.0000,0.4167,0.0676
30,7,1.0000,0.5833,0.1232
30,8,1.0000,0.5833,0.0720
30,9,1.0000,0.5000,0.1378
30,10,1.0000,0.5833,0.0345
30,11,1.0000,0.5833,0.0160
30,12,1.0000,0.5833,0.0100
30,13,1.0000,0.5833,0.0083
30,14,1.0000,0.5833,0.0100
30,15,1.0000,0.5833,0.0105
30,16,1.0000,0.5833,0.0102
30,17,1.0000,0.5833,0.0117
30,18,1.0000,0.5833,0.0044
30,19,1.0000,0.5833,0.0060
30,20,1.0000,0.5833,0.0091
30,21,1.0000,0.5833,0.0068
30,22,1.0000,0.5833,0.0074
30,23,0.8750,0.5833,0.0169
30,24,1.0000,0.5833,0.0195
60,1,0.2500,0.2500,1.3469
60,2,0.7500,0.4167,0.8583
60,3,0.2500,0.5833,0.6579
60,4,1.0000,0.5000,0.6003
60,5,1.0000,0.5000,0.4353
60,6,0.7500,0.5000,0.4191
60,7,1.0000,0.5000,0.3705
60,8,0.7500,0.6667,0.3308
60,9,1.0000,0.6667,0.4236
60,10,1.0000,0.6667,0.2266
60,11,0.8750,0.6667,0.2711
60,12,1.0000,0.5000,0.1410
60,13,1.0000,0.5000,0.1352
60,14,0.9375,0.5833,0.3253
60,15,0.9375,0.4167,0.3254
60,16,0.9375,0.5000,0.2226
60,17,1.0000,0.5833,0.1284
60,18,0.8750,0.5833,0.2108
60,19,0.7500,0.5833,0.2398
60,20,0.8750,0.6667,0.1329
60,21,0.9375,0.7500,0.1184
60,22,0.9375,0.6667,0.0918
90,1,0.7500,0.5000,0.9591
90,2,1.0000,0.5000,0.7802
90,3,1.0000,0.5000,0.5365
90,4,0.5000,0.5000,0.4460
90,5,0.8750,0.5833,0.3051
90,6,0.9375,0.5000,0.3054
90,7,1.0000,0.5833,0.3297
90,8,1.0000,0.5833,0.2645
90,9,0.8750,0.6667,0.2330
90,10,0.9375,0.5000,0.1688
90,11,0.9375,0.5833,0.1855
90,12,0.9375,0.5833,0.1374
90,13,1.0000,0.7500,0.1595
90,14,0.9375,0.7500,0.1326
90,15,0.8750,0.7500,0.1499
90,16,1.0000,0.5833,0.1297
90,17,0.8750,0.6667,0.2068
90,18,0.9375,0.7500,0.1874
90,19,0.9375,0.7500,0.2268
90,20,0.9375,0.7500,0.0718
90,21,0.9375,0.6667,0.0862
90,22,1.0000,0.7500,0.0799
90,23,1.0000,0.6667,0.0634
90,24,1.0000,0.7500,0.0887
